PROVINSI,KABUPATEN,KECAMATAN,KELURAHAN,PUNYA BADUTA,PUNYA BALITA,PUS,PUS HAMIL,AIR MINUM,TEMPAT BUANG AIR,TERLALU MUDA,TERLALU TUA,TERLALU DEKAT,TERLALU BANYAK,KRS
SULAWESI BARAT,MAMASA,MAMBI,TALIPUKKI,48,72,208,9,61,11,2,38,4,84,119
SULAWESI BARAT,MAMASA,MAMBI,TAPALINA,19,39,143,5,55,14,1,26,8,43,80
SULAWESI BARAT,MAMASA,MEHALAAN,BOTTENG,21,27,85,1,6,6,0,9,2,28,62
SULAWESI BARAT,MAMASA,MEHALAAN,KONDO,11,15,47,0,22,1,0,13,0,22,23
SULAWESI BARAT,MAMASA,MEHALAAN,LEKO SUKAMAJU,4,6,38,0,21,1,0,7,1,18,16
SULAWESI BARAT,MAMASA,MEHALAAN,MEHALAAN,16,15,68,3,2,0,1,7,0,11,59
SULAWESI BARAT,MAMASA,MEHALAAN,MEHALAAN BARAT,22,24,113,4,15,1,0,23,0,22,93
SULAWESI BARAT,MAMASA,MEHALAAN,MESAKADA,27,18,89,3,2,7,2,15,0,26,75
SULAWESI BARAT,MAMASA,MEHALAAN,PASSEMBUK,5,21,53,0,9,0,1,13,0,14,33
SULAWESI BARAT,MAMASA,MEHALAAN,SALUAHOK,16,18,88,5,1,0,0,15,1,32,55
SULAWESI BARAT,MAMASA,MEHALAAN,SALUBALO,12,15,56,2,3,47,1,11,2,15,53
SULAWESI BARAT,MAMASA,MEHALAAN,SALUKONTA,11,15,72,4,1,5,1,13,0,24,67
SULAWESI BARAT,MAMASA,MEHALAAN,ULUMEA,3,16,33,1,0,13,0,7,0,8,34
SULAWESI BARAT,MAMASA,MESSAWA,MAKUANG,19,36,146,5,1,29,2,31,2,46,120
SULAWESI BARAT,MAMASA,MESSAWA,MALIMBONG,2,13,67,0,0,1,4,11,1,16,63
SULAWESI BARAT,MAMASA,MESSAWA,MATANDE,1,16,91,0,0,0,0,16,1,22,90
SULAWESI BARAT,MAMASA,MESSAWA,MESSAWA,0,8,65,2,0,6,0,20,0,19,52
SULAWESI BARAT,MAMASA,MESSAWA,PASMA MAMBU,0,6,71,3,0,2,0,16,0,25,61
SULAWESI BARAT,MAMASA,MESSAWA,RIPPUNG,0,35,187,0,0,3,1,43,1,66,185
SULAWESI BARAT,MAMASA,MESSAWA,SEPANG,0,13,90,0,1,4,1,23,0,26,88
SULAWESI BARAT,MAMASA,MESSAWA,SIPAI,15,33,130,0,0,10,1,21,5,68,89
SULAWESI BARAT,MAMASA,MESSAWA,TANETE BATU,4,8,68,0,0,0,0,18,2,14,62
SULAWESI BARAT,MAMASA,NOSU,BATUPAPAN,0,24,123,2,4,15,0,28,2,72,79
SULAWESI BARAT,MAMASA,NOSU,MASEWWE,3,22,116,6,1,98,0,32,2,57,70
SULAWESI BARAT,MAMASA,NOSU,MINANGA,7,12,42,2,0,1,0,4,1,20,30
SULAWESI BARAT,MAMASA,NOSU,MINANGA TIMUR,1,12,60,0,13,1,0,16,1,23,13
SULAWESI BARAT,MAMASA,NOSU,NOSU,10,29,120,4,9,1,0,29,3,54,150
SULAWESI BARAT,MAMASA,NOSU,PARINDING,2,14,45,0,4,9,0,10,2,15,29
SULAWESI BARAT,MAMASA,NOSU,SIWI,11,15,53,1,9,2,0,7,2,22,25
SULAWESI BARAT,MAMASA,PANA,DATUBARINGAN,6,15,126,1,74,50,0,31,1,63,48
SULAWESI BARAT,MAMASA,PANA,KARAKA,0,17,83,2,2,32,0,23,1,34,56
SULAWESI BARAT,MAMASA,PANA,MAMULLU,9,17,90,3,61,16,0,23,0,39,25
SULAWESI BARAT,MAMASA,PANA,MANIPI,20,41,176,3,32,75,4,54,2,95,112
SULAWESI BARAT,MAMASA,PANA,PANA,5,22,82,6,0,9,0,22,1,35,80
SULAWESI BARAT,MAMASA,PANA,PANURA,1,13,82,5,0,75,0,22,0,38,73
SULAWESI BARAT,MAMASA,PANA,SALOAN,19,44,117,1,6,102,2,31,1,51,108
SULAWESI BARAT,MAMASA,PANA,SALUTAMBUN,5,20,70,3,2,53,0,20,0,46,55
SULAWESI BARAT,MAMASA,PANA,SAPAN,10,13,74,1,2,47,1,21,2,36,62
SULAWESI BARAT,MAMASA,PANA,TALLANG BULAWAN,7,19,85,2,3,29,0,24,2,50,53
SULAWESI BARAT,MAMASA,PANA,ULUSALU,0,10,76,0,2,70,0,15,2,40,66
SULAWESI BARAT,MAMASA,PANA,ULUSALU INDAH,13,18,71,5,8,26,0,22,2,36,38
SULAWESI BARAT,MAMASA,PANA,WERI,9,18,69,1,0,51,0,14,2,34,65
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,BAMBANG BUDA,21,41,166,3,12,22,0,33,4,25,138
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,BUANGIN,6,35,147,3,13,45,0,27,0,49,105
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,KIRAK,18,34,109,2,24,60,2,14,4,37,66
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,LEKO,7,8,45,0,11,3,2,8,0,8,15
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN,25,40,141,4,30,34,7,29,4,45,92
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN BARAT,11,39,140,4,42,43,0,26,0,49,83
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SALUMOKANAN UTARA,23,25,146,0,16,4,2,22,0,51,103
SULAWESI BARAT,MAMASA,RANTEBULAHAN TIMUR,SAMPALE,2,10,63,2,26,19,0,11,0,13,21
SULAWESI BARAT,MAMASA,SESENAPADANG,LISUAN ADA,16,23,99,3,2,30,1,11,1,31,74
SULAWESI BARAT,MAMASA,SESENAPADANG,MALANGKENA PADANG,8,21,106,4,1,53,1,17,0,31,80
SULAWESI BARAT,MAMASA,SESENAPADANG,MALIMBONG,6,13,34,2,0,7,0,3,1,12,28
